cluster_label,json_filename,video_filename,mood_tag,motion_tag,sample_tags,short_description
0,00_0040_2013-12-28_012945_prores_scene_001.json,00_0040_2013-12-28_012945_prores_scene_001.mov,warm,dynamic,"aerial_view, boat, polar_bear, river, sand_dune","Series of water-related visuals: First, a tight shot of a seagull floating on water. Followed by a m..."
0,TST_7631_prores_scene_001.json,TST_7631_prores_scene_001.mov,warm,active,"black_and_white_image, black_background, color_contrast, colored_lights, dynamic_lighting","Multilayered composition featuring a primary layer of static, black background; secondary layers inc..."
0,Untitled8 copy_prores_scene_015.json,Untitled8 copy_prores_scene_015.mov,cool,dynamic,"airplane, close_up, clouds, daylight, flight",Expansive blue sky with interspersed white clouds spans upper portion of view. Object in close up oc...
0,pre-ascent-waves_scene_006.json,pre-ascent-waves_scene_006.mov,cool,dynamic,"aerial_view, coastline, daylight, foam, ocean","Sequence of ocean visuals displaying close-up of water surface with undulating waves, foam, followed..."
0,Skateboarding Michigan Dad Friends Frank_prores_scene_025.json,Skateboarding Michigan Dad Friends Frank_prores_scene_025.mov,cool,active,"airplane, foreground, light_conditions, monochrome, motion",The sequence depicts four distinct scenes. Scene one presents an airplane in flight against a sky ba...
1,IMG_1866_prores_scene_001.json,IMG_1866_prores_scene_001.mov,warm,moderate,"dance_floor, dancing, darkness, feathers, ice_rink",Structured description of two scenes. Scene one: an individual on a skateboard moves across an icy s...
1,00_0069_2013-12-28_213818_prores_scene_003.json,00_0069_2013-12-28_213818_prores_scene_003.mov,neutral,active,"foreground_object, monochrome, reflection, snow, trees","Glass surface reflects dendritic patterns, snow-dusted forest stands behind, monochrome palette, foc..."
1,0001QS_prores_scene_001.json,0001QS_prores_scene_001.mov,neutral,dynamic,"dynamic, grassy_field, hand, monochrome, object","Static grassy area, midground trees, hand foreground, grayscale object focus, undefined dynamic moti..."
1,00_0045_2013-12-28_013944_prores_scene_003.json,00_0045_2013-12-28_013944_prores_scene_003.mov,cool,active,"ambient_light, background, blur, cool_hues, diffuse_light","Foreground shows a dynamic figure on ice skates affixed to a skateboard, gliding across a surface wi..."
1,00_0028_2013-12-28_010207_prores_scene_001.json,00_0028_2013-12-28_010207_prores_scene_001.mov,cool,dynamic,"bird, branches, ice, icicles, snow",Static frame featuring a bird on ice edge; Tight shot detailing snow-laden branches; Icicles suspend...
2,Trouble Shooters at Sweet Home_prores_scene_018.json,Trouble Shooters at Sweet Home_prores_scene_018.mov,neutral,active,"audience, gender_mixed, group, hats, instruments","A cluster of individuals is positioned in a gathered configuration, each person holding an instrumen..."
2,IMG_1754_scene_001.json,IMG_1754_scene_001.mov,cool,moderate,"crowd, dance, electronic_music_festival, festival, lights","A dense assembly of individuals occupying a confined open area, facing a platform elevated above the..."
2,FullSizeRender_4_prores_scene_001.json,FullSizeRender_4_prores_scene_001.mov,warm,active,"bathroom, interior, man, mirror, reflection","A solitary figure occupies a domestic space, positioned centrally before a reflective surface with a..."
2,Christmas Singalong_prores_scene_053.json,Christmas Singalong_prores_scene_053.mov,warm,dynamic,"bathroom, blurry, mirror, motion_blur, woman","Foreground contains a blurry image of an indistinct object. A woman is positioned centrally, standin..."
2,Piano Day 1998_prores_scene_021.json,Piano Day 1998_prores_scene_021.mov,warm,dynamic,"interior, music, piano, playing, standing",Two individuals near an upright piano in an interior space. One person is stationed before the piano...
