x,y,cluster,filename,cluster_name,hover
-2.977169,4.132439,1,video_d70eccc0dba248d3856bb5c483469c87_prores_scene_002.json,first perception,video_d70eccc0dba248d3856bb5c483469c87_prores_scene_002.json — first perception
-2.3359559,4.976507,0,video_d70eccc0dba248d3856bb5c483469c87_prores_scene_003.json,elemental stillness,video_d70eccc0dba248d3856bb5c483469c87_prores_scene_003.json — elemental stillness
-1.8573918,2.9390926,3,TIM0_prores_scene_002.json,residual interference,TIM0_prores_scene_002.json — residual interference
-2.6802852,3.7070603,1,2014-10-18 17.07.33_prores_scene_001.json,first perception,2014-10-18 17.07.33_prores_scene_001.json — first perception
-0.8363372,3.8589792,0,Brute Spring Fog_prores_scene_001.json,elemental stillness,Brute Spring Fog_prores_scene_001.json — elemental stillness
-3.5435,4.39314,0,IMG_0049_prores_scene_001.json,elemental stillness,IMG_0049_prores_scene_001.json — elemental stillness
-3.9868355,3.4537342,1,2014-11-08 16.34.48_prores_scene_001.json,first perception,2014-11-08 16.34.48_prores_scene_001.json — first perception
-2.293781,4.1323085,2,Static 1_prores_scene_001.json,human proximity,Static 1_prores_scene_001.json — human proximity
-0.9858097,4.648682,3,GOOD_prores_scene_001.json,residual interference,GOOD_prores_scene_001.json — residual interference
-1.6833167,2.2989457,2,GOPR0208_scene_002.json,human proximity,GOPR0208_scene_002.json — human proximity
-1.1408398,4.128073,0,GOPR0208_scene_001.json,elemental stillness,GOPR0208_scene_001.json — elemental stillness
-1.5929859,3.9081929,4,2014-08-21 11.40.09_prores_scene_001.json,luminous threshold,2014-08-21 11.40.09_prores_scene_001.json — luminous threshold
-2.9396791,4.8743877,4,2014-07-23 20.52.10_prores_scene_001.json,luminous threshold,2014-07-23 20.52.10_prores_scene_001.json — luminous threshold
-3.7161355,2.8495245,1,2014-11-08 16.38.19_prores_scene_001.json,first perception,2014-11-08 16.38.19_prores_scene_001.json — first perception
-2.3160548,2.5174558,4,VDMX5 - Main Output 2021-10-14 at 15.10.57_prores_scene_001.json,luminous threshold,VDMX5 - Main Output 2021-10-14 at 15.10.57_prores_scene_001.json — luminous threshold
-1.3382999,4.944499,0,disco ball_prores_scene_001.json,elemental stillness,disco ball_prores_scene_001.json — elemental stillness
-1.9606725,4.5929146,1,2014-10-19 18.21.23_prores_scene_001.json,first perception,2014-10-19 18.21.23_prores_scene_001.json — first perception
-3.4757307,3.2915745,3,Drone_prores_scene_001.json,residual interference,Drone_prores_scene_001.json — residual interference
-2.825421,3.0346649,2,TIM0_prores_scene_001.json,human proximity,TIM0_prores_scene_001.json — human proximity
-1.3189108,2.7692564,3,2014-06-05 20.09.56_prores_scene_001.json,residual interference,2014-06-05 20.09.56_prores_scene_001.json — residual interference
-3.95381,4.0595007,1,video_d70eccc0dba248d3856bb5c483469c87_prores_scene_001.json,first perception,video_d70eccc0dba248d3856bb5c483469c87_prores_scene_001.json — first perception
